id,phrase,feature_1,feature_2,feature_3,sentiment
0,It may as well be called `` Jar-Jar Binks : The Movie . '',14.0,5.0,7.0,0
1,You have to see it .,6.0,1.0,,2
2,... either you 're willing to go with this claustrophobic concept or you 're not .,16.0,0.0,6.0,1
3,"Watching Harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but Boyd 's film offers little else of consequence .",37.0,,3.0,1
4,"Pete 's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish .",20.0,1.0,4.0,2
5,"If you 're looking for a story , do n't bother .",12.0,1.0,4.0,0
6,Drowning 's too good for this sucker .,8.0,1.0,2.0,0
7,A moving and stark reminder that the casualties of war reach much further than we imagine .,,1.0,1.0,2
8,A brutal and funny work .,6.0,1.0,1.0,2
9,"In some ways , Lagaan is quintessential Bollywood .",9.0,3.0,2.0,1
10,"Whenever you think you 've figured out Late Marriage , it throws you for a loop .",17.0,3.0,3.0,2
11,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .,18.0,1.0,2.0,2
12,"A gratingly unfunny groaner littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups .",17.0,1.0,4.0,0
13,I could n't recommend this film more .,8.0,1.0,,2
14,"It remains to be seen whether Statham can move beyond the crime-land action genre , but then again , who says he has to ?",25.0,2.0,4.0,1
15,"Take away the controversy , and it 's not much more watchable than a Mexican soap opera .",18.0,2.0,3.0,0
16,But the second half of the movie really goes downhill .,,1.0,1.0,0
17,"There are plenty of scenes in Frida that do work , but rarely do they involve the title character herself .",21.0,2.0,2.0,2
18,"You can taste it , but there 's no fizz .",11.0,,3.0,0
19,A movie that 's held captive by mediocrity .,9.0,1.0,2.0,0
20,Just because A Walk to Remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls .,25.0,4.0,3.0,0
21,"Unlike Trey Parker , Sandler does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself .",25.0,4.0,4.0,0
22,"Kids five and up will be delighted with the fast , funny , and even touching story .",18.0,1.0,3.0,2
23,There is more than one joke about putting the toilet seat down .,13.0,1.0,1.0,1
24,"But once the falcon arrives in the skies above Manhattan , the adventure is on red alert .",18.0,,2.0,2
25,Nearly every attempt at humor here is DOA .,,2.0,1.0,0
26,"In its treatment of the dehumanizing and ego-destroying process of unemployment , Time Out offers an exploration that is more accurate than anything I have seen in an American film .",31.0,5.0,3.0,2
27,Despite modest aspirations its occasional charms are not to be dismissed .,12.0,1.0,1.0,2
28,"... an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",23.0,0.0,6.0,2
29,An alternately raucous and sappy ethnic sitcom ... you 'd be wise to send your regrets .,17.0,1.0,5.0,0
30,Reveals how important our special talents can be when put in service of of others .,16.0,1.0,1.0,2
31,"The wonder of Mostly Martha is the performance of Gedeck , who makes Martha enormously endearing .",17.0,5.0,2.0,2
32,"Schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness .",21.0,1.0,4.0,0
33,"If The Tuxedo actually were a suit , it would fit Chan like a $ 99 bargain-basement special .",19.0,4.0,4.0,0
34,"At every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... all you have left is a no-surprise series of explosions and violence while Banderas looks like he 's not trying to laugh at how bad it",48.0,2.0,6.0,0
35,"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .",22.0,1.0,3.0,2
36,Yes .,,,1.0,2
